"","Record_ID","mark"
"2","50014",2
"3","50016",3
"4","50016",4
"5","50016",6
"6","50016",7
"7","50037",3
"8","50043",4
"9","50068",2
"10","50068",4
"11","50068",5
"12","50068",6
"13","50072",2
"14","50072",3
"15","50072",5
"16","50075",6
"17","50075",7
"18","50086",2
"19","50086",3
"20","50086",5
"21","50086",6
"22","50086",7
"23","50112",2
"24","50121",2
"25","50121",3
"26","50121",4
"27","50121",5
"28","50121",6
"29","50121",7
